material,unit,biobased_type,structural_type,buildingType,tons
aluminium,tons,none,foundation,B,
brick,tons,none,foundation,B,
cement_cover-floor,tons,none,foundation,B,
concrete_in-situ,tons,none,foundation,B,2652.0
concrete_prefab,tons,none,foundation,B,
furnishing_stone,tons,none,foundation,B,
glass,tons,none,foundation,B,
gravel_sand,tons,none,foundation,B,200.0
gypsum,tons,none,foundation,B,
isolation,tons,none,foundation,B,
plaster,tons,none,foundation,B,
bitumen,tons,none,foundation,B,
steel,tons,none,foundation,B,221.0
timber,tons,none,foundation,B,
aluminium,tons,none,structural,B,
brick,tons,none,structural,B,
cement_cover-floor,tons,none,structural,B,
concrete_in-situ,tons,none,structural,B,547.1999999999999
concrete_prefab,tons,none,structural,B,7816.0
furnishing_stone,tons,none,structural,B,
glass,tons,none,structural,B,
gravel_sand,tons,none,structural,B,
gypsum,tons,none,structural,B,
isolation,tons,none,structural,B,
plaster,tons,none,structural,B,
bitumen,tons,none,structural,B,
steel,tons,none,structural,B,199.2825
timber,tons,none,structural,B,
aluminium,tons,none,non-structural,B,321.0
brick,tons,none,non-structural,B,322.0
cement_cover-floor,tons,none,non-structural,B,
concrete_in-situ,tons,none,non-structural,B,
concrete_prefab,tons,none,non-structural,B,723.8000000000001
furnishing_stone,tons,none,non-structural,B,216.0
glass,tons,none,non-structural,B,2100.0
gravel_sand,tons,none,non-structural,B,6.2
gypsum,tons,none,non-structural,B,2200.0
isolation,tons,none,non-structural,B,26.1
plaster,tons,none,non-structural,B,
bitumen,tons,none,non-structural,B,13.3
steel,tons,none,non-structural,B,60.0
timber,tons,none,non-structural,B,
modules,tons,none,non-structural,B,1391.0
aluminium,tons,full,foundation,B,
brick,tons,full,foundation,B,
cement_cover-floor,tons,full,foundation,B,
concrete_in-situ,tons,full,foundation,B,1989.0
concrete_prefab,tons,full,foundation,B,
furnishing_stone,tons,full,foundation,B,
glass,tons,full,foundation,B,
gravel_sand,tons,full,foundation,B,200.0
gypsum,tons,full,foundation,B,
isolation,tons,full,foundation,B,
plastic,tons,full,foundation,B,
bitumen,tons,full,foundation,B,
steel,tons,full,foundation,B,221.0
timber,tons,full,foundation,B,
aluminium,tons,full,structural,B,
brick,tons,full,structural,B,
cement_cover-floor,tons,full,structural,B,
concrete_in-situ,tons,full,structural,B,
concrete_prefab,tons,full,structural,B,
furnishing_stone,tons,full,structural,B,
glass,tons,full,structural,B,
gravel_sand,tons,full,structural,B,
gypsum,tons,full,structural,B,
isolation,tons,full,structural,B,
plaster,tons,full,structural,B,
bitumen,tons,full,structural,B,
steel,tons,full,structural,B,
timber,tons,full,structural,B,2808.0
aluminium,tons,full,non-structural,B,
brick,tons,full,non-structural,B,
cement_cover-floor,tons,full,non-structural,B,
concrete_in-situ,tons,full,non-structural,B,
concrete_prefab,tons,full,non-structural,B,723.8000000000001
furnishing_stone,tons,full,non-structural,B,216.0
glass,tons,full,non-structural,B,2100.0
gravel_sand,tons,full,non-structural,B,6.2
gypsum,tons,full,non-structural,B,
isolation,tons,full,non-structural,B,
plaster,tons,full,non-structural,B,
bitumen,tons,full,non-structural,B,
biobased,tons,full,non-structural,B,3310.07
steel,tons,full,non-structural,B,60.0
modules,tons,full,non-structural,B,1391.0
aluminium,tons,none,foundation,C,
brick,tons,none,foundation,C,
cement_cover-floor,tons,none,foundation,C,
concrete_in-situ,tons,none,foundation,C,9792.0
concrete_prefab,tons,none,foundation,C,
furnishing_stone,tons,none,foundation,C,
glass,tons,none,foundation,C,
gravel_sand,tons,none,foundation,C,250.0
gypsum,tons,none,foundation,C,
isolation,tons,none,foundation,C,
plaster,tons,none,foundation,C,
bitumen,tons,none,foundation,C,
steel,tons,none,foundation,C,816.0
timber,tons,none,foundation,C,
aluminium,tons,none,structural,C,
brick,tons,none,structural,C,
cement_cover-floor,tons,none,structural,C,
concrete_in-situ,tons,none,structural,C,21648.0
concrete_prefab,tons,none,structural,C,11066.0
furnishing_stone,tons,none,structural,C,
glass,tons,none,structural,C,
gravel_sand,tons,none,structural,C,
gypsum,tons,none,structural,C,
isolation,tons,none,structural,C,
plaster,tons,none,structural,C,
bitumen,tons,none,structural,C,
steel,tons,none,structural,C,597.8475
timber,tons,none,structural,C,
aluminium,tons,none,non-structural,C,194.29999999999998
brick,tons,none,non-structural,C,1922.0
cement_cover-floor,tons,none,non-structural,C,1051.6000000000001
concrete_in-situ,tons,none,non-structural,C,
concrete_prefab,tons,none,non-structural,C,928.4000000000001
furnishing_stone,tons,none,non-structural,C,522.0
glass,tons,none,non-structural,C,3539.8
gravel_sand,tons,none,non-structural,C,
gypsum,tons,none,non-structural,C,2760.0
isolation,tons,none,non-structural,C,69.0
plaster,tons,none,non-structural,C,8.8
bitumen,tons,none,non-structural,C,26.0
steel,tons,none,non-structural,C,90.7
timber,tons,none,non-structural,C,
modules,tons,none,non-structural,C,5162.0
aluminium,tons,full,foundation,C,
brick,tons,full,foundation,C,
cement_cover-floor,tons,full,foundation,C,
concrete_in-situ,tons,full,foundation,C,7344.0
concrete_prefab,tons,full,foundation,C,
furnishing_stone,tons,full,foundation,C,
glass,tons,full,foundation,C,
gravel_sand,tons,full,foundation,C,250.0
gypsum,tons,full,foundation,C,
isolation,tons,full,foundation,C,
plastic,tons,full,foundation,C,
bitumen,tons,full,foundation,C,
steel,tons,full,foundation,C,816.0
timber,tons,full,foundation,C,
aluminium,tons,full,structural,C,
brick,tons,full,structural,C,
cement_cover-floor,tons,full,structural,C,
concrete_in-situ,tons,full,structural,C,
concrete_prefab,tons,full,structural,C,
furnishing_stone,tons,full,structural,C,
glass,tons,full,structural,C,
gravel_sand,tons,full,structural,C,
gypsum,tons,full,structural,C,
isolation,tons,full,structural,C,
plaster,tons,full,structural,C,
bitumen,tons,full,structural,C,
steel,tons,full,structural,C,
timber,tons,full,structural,C,6607.0
aluminium,tons,full,non-structural,C,
brick,tons,full,non-structural,C,
cement_cover-floor,tons,full,non-structural,C,
concrete_in-situ,tons,full,non-structural,C,
concrete_prefab,tons,full,non-structural,C,928.4000000000001
furnishing_stone,tons,full,non-structural,C,522.0
glass,tons,full,non-structural,C,3539.8
gravel_sand,tons,full,non-structural,C,
gypsum,tons,full,non-structural,C,
isolation,tons,full,non-structural,C,
plaster,tons,full,non-structural,C,
bitumen,tons,full,non-structural,C,
biobased,tons,full,non-structural,C,5336.07
steel,tons,full,non-structural,C,90.7
modules,tons,full,non-structural,C,5162.0
aluminium,tons,none,foundation,D,
brick,tons,none,foundation,D,
cement_cover-floor,tons,none,foundation,D,
concrete_in-situ,tons,none,foundation,D,26580.0
concrete_prefab,tons,none,foundation,D,
furnishing_stone,tons,none,foundation,D,
glass,tons,none,foundation,D,
gravel_sand,tons,none,foundation,D,300.0
gypsum,tons,none,foundation,D,
isolation,tons,none,foundation,D,
plaster,tons,none,foundation,D,
bitumen,tons,none,foundation,D,
steel,tons,none,foundation,D,2215.0
timber,tons,none,foundation,D,
aluminium,tons,none,structural,D,
brick,tons,none,structural,D,
cement_cover-floor,tons,none,structural,D,
concrete_in-situ,tons,none,structural,D,9360.0
concrete_prefab,tons,none,structural,D,38020.0
furnishing_stone,tons,none,structural,D,
glass,tons,none,structural,D,
gravel_sand,tons,none,structural,D,
gypsum,tons,none,structural,D,
isolation,tons,none,structural,D,
plaster,tons,none,structural,D,
bitumen,tons,none,structural,D,
steel,tons,none,structural,D,1328.55
timber,tons,none,structural,D,
aluminium,tons,none,non-structural,D,361.7
brick,tons,none,non-structural,D,538.0
cement_cover-floor,tons,none,non-structural,D,253.00000000000003
concrete_in-situ,tons,none,non-structural,D,
concrete_prefab,tons,none,non-structural,D,3128.4
furnishing_stone,tons,none,non-structural,D,1594.0
glass,tons,none,non-structural,D,8922.0
gravel_sand,tons,none,non-structural,D,
gypsum,tons,none,non-structural,D,5975.0
isolation,tons,none,non-structural,D,113.45
plaster,tons,none,non-structural,D,
bitumen,tons,none,non-structural,D,19.0
steel,tons,none,non-structural,D,328.0
timber,tons,none,non-structural,D,
modules,tons,none,non-structural,D,9707.0
aluminium,tons,full,foundation,D,
brick,tons,full,foundation,D,
cement_cover-floor,tons,full,foundation,D,
concrete_in-situ,tons,full,foundation,D,19935.0
concrete_prefab,tons,full,foundation,D,
furnishing_stone,tons,full,foundation,D,
glass,tons,full,foundation,D,
gravel_sand,tons,full,foundation,D,300.0
gypsum,tons,full,foundation,D,
isolation,tons,full,foundation,D,
plastic,tons,full,foundation,D,
bitumen,tons,full,foundation,D,
steel,tons,full,foundation,D,2215.0
timber,tons,full,foundation,D,
aluminium,tons,full,structural,D,
brick,tons,full,structural,D,
cement_cover-floor,tons,full,structural,D,
concrete_in-situ,tons,full,structural,D,
concrete_prefab,tons,full,structural,D,
furnishing_stone,tons,full,structural,D,
glass,tons,full,structural,D,
gravel_sand,tons,full,structural,D,
gypsum,tons,full,structural,D,
isolation,tons,full,structural,D,
plaster,tons,full,structural,D,
bitumen,tons,full,structural,D,
steel,tons,full,structural,D,
timber,tons,full,structural,D,29741.0
aluminium,tons,full,non-structural,D,
brick,tons,full,non-structural,D,
cement_cover-floor,tons,full,non-structural,D,
concrete_in-situ,tons,full,non-structural,D,
concrete_prefab,tons,full,non-structural,D,3128.4
furnishing_stone,tons,full,non-structural,D,1594.0
glass,tons,full,non-structural,D,8922.0
gravel_sand,tons,full,non-structural,D,
gypsum,tons,full,non-structural,D,
isolation,tons,full,non-structural,D,
plaster,tons,full,non-structural,D,
bitumen,tons,full,non-structural,D,
biobased,tons,full,non-structural,D,9482.029999999999
steel,tons,full,non-structural,D,328.0
modules,tons,full,non-structural,D,9707.0
